turkish,english
bir,one
bu,this
ne,What
ve,and
mi,Did you
için,for
çok,very
ben,I
o,he is
de,also
evet,Yes
var,there is
ama,but
mı,is
değil,not
da,in
hayır,no
sen,joyful
şey,thing
daha,more
bana,to me
kadar,until
seni,you
beni,me
iyi,good
tamam,OK
onu,him-her-it
bunu,this
gibi,like
yok,no
benim,just me
her,each
sana,you
ki,that
sadece,only
neden,why
burada,here
senin,your
ya,either
zaman,time
hiç,no
şimdi,now
nasıl,how
sonra,Then
olduğunu,that
en,-most
mu,is
misin,will you
hadi,let's
şu,That
öyle,so
güzel,beautiful
biraz,some
musun,Do you
önce,prior to
İyi,Good
lütfen,Please
ona,him
bak,look
böyle,such
oldu,it was
hey,Hey
istiyorum,I want
geri,back
onun,her
bile,even
gerçekten,really
artık,no longer
kim,who
eğer,if
bay,Mr
yani,so
çünkü,because
biliyorum,I know
doğru,right
büyük,big
buraya,here
peki,Well
başka,another
belki,maybe
tanrım,my god
olarak,as
tek,single
efendim,Sir
biri,someone
haydi,lets
olur,would
et,meat
olacak,it will be
olan,one
adam,man
İşte,Request
merhaba,Hi
sanırım,I think
teşekkürler,Thank you
orada,there
nerede,where
biz,we
demek,say
hiçbir,no
yardım,help
ederim,I would
bilmiyorum,I do not know
gün,day
a,a
gece,night
in,of
fazla,much
bütün,all
harika,wonderful
yeni,new
bunun,its
iki,two
gel,come
biliyor,he knows
tüm,all
ile,with
kötü,bad
oh,oh
olsun,get
küçük,small
tam,full
ol,be
son,end
siz,you
şeyler,things
şeyi,thing
bayan,Lady
hemen,now
sorun,problem
size,to you
üzgünüm,sorry
ver,give
onları,them
lanet,curse
teşekkür,thank
ın,of
git,go
devam,continuation
i,I
kız,girl
dostum,my friend
pekala,well
sizi,you
gerek,need
bizi,us
e,to
bize,to us
dur,Stop
hakkında,about
buna,this
aynı,same
oluyor,is happening
kendi,own
anne,mom
baba,father
mısın,will you
diye,that
iş,business
kimse,nobody
izin,permission
asla,never
hala,still
tabii,Of course
al,get
seninle,with you
mü,is
selam,Hi
olabilir,can
şunu,it
benimle,with me
söyle,tell
para,money
bizim,our
önemli,important
yoksa,or
içinde,in
herkes,everyone
ister,either
değilim,I am not
üç,three
yüzden,why
gidelim,lets go
geldi,came
dakika,minute
tekrar,again
bırak,leave
vardı,had
biliyorsun,you know
özür,apology
işte,Request
bakalım,let's see
istiyorsun,Would you
yapıyorsun,you are doing
hep,always
miyim,Can I
onlar,them
buradan,from here
nin,the
geliyor,coming
gerçek,real
uzun,long-
bugün,today
bekle,wait
yine,again
olmak,be
saat,hour
neler,What
aslında,actually
çocuklar,children
nedir,what
bence,in my opinion
burası,here
onunla,with him
çocuk,child
eve,home
göre,by
nereye,where
ilk,first
yer,place
nın,the
sizin,your
yıl,year
birlikte,together
hepsi,all
kaç,escape
olmaz,No way
dinle,listen
pek,very
yere,place
şekilde,the way
emin,sure
hazır,ready
istemiyorum,I do not want
birkaç,a few
zaten,already
dilerim,I wish
fakat,but
lazım,necessary
söz,promise
söyledi,told
dan,from
kendini,itself
olmalı,should be
tane,piece
seviyorum,I like
etmek,to make
ediyorum,I would
misiniz,Are you
ı,I
bunlar,these
tatlım,sweetie
kesinlikle,absolutely
karşı,against
birşey,something
aman,Oh
görmek,see
yarın,tomorrow
olduğu,that
benden,me
eski,old
istiyor,wants
elbette,of course
edin,Learn
az,little
İki,Two
anda,currently
un,Fame
kahretsin,damn
işi,heat
kadın,woman
yapmak,make
ilgili,about
oraya,to there
ha,Ha
dikkat,attention
hoş,pleasant
yapma,making
an,moment
onlara,to them
gerekiyor,need
işe,if
zor,hard
dışarı,out
bundan,from this
diğer,other
kez,times
sakin,do not
kabul,accept
mutlu,happy
geç,late
senden,from you
dedim,I said
bakın,Look
gidip,go
çabuk,quickly
hafta,week
niye,why
ah,Ah
kişi,person
yemek,eat
yerde,in place
musunuz,Do you
özel,special
görüşürüz,See you
YANLIŞ,FALSE
gördüm,I saw
zorunda,must
gidiyor,going
tanrı,God
kes,cut
ediyor,ediyor
ye,eat
gitti,gone
bazı,Some
polis,police
nereden,Where from
yalnız,alone
babam,my father
merak,wonder
hem,and
beş,five
erkek,male
sağ,right
doktor,doctor
falan,like
birini,one
kontrol,control
eminim,I am sure
gereken,required
ondan,from him
insan,human
insanlar,people
aptal,silly
ihtiyacım,I need
etti,It has
gördün,you saw
umarım,I hope
dolar,dollar
değildi,it was not
beri,since
adamım,man
etme,to
öldü,died
veya,or
su,That
nefret,hate
den,from
yeter,enough
haber,news
sanki,if
yap,do
ateş,fire
kendine,yourself
dört,four
sabah,morning
akşam,evening
yalan,lie
dün,yesterday
kendimi,Myself
geçen,last
sence,what do you think
kal,remain
annem,My mother
değilsin,You are not
yaptım,I did
sonunda,finally
hangi,which
boyunca,throughout
la,la
yi,yi
yerine,instead
bunları,these
istediğim,I want
aç,hungry
üzerinde,over
adı,First Name
vardır,has
ay,moon
tamamen,completely
karar,decision
olduğumu,I have
dedi,said
adım,step
ayrıca,also
bitti,it's over
olun,be
u,u
gitmek,go
gelecek,the future
olamaz,can not
farklı,different
yaptın,you did
olmuş,dead
pekâlâ,all right
genç,young
öyleyse,then
dr,dir
sakın,do not
bende,Me too
bazen,sometimes
açık,open
bebeğim,my baby
söyledim,I told
olursa,should
tabi,subject
oldukça,quite
yol,way
neyse,anyways
içeri,inside
İlk,First
ettim,I have
oldum,became
beraber,together
tarafından,by
mükemmel,excellent
zamanı,the time
eder,it
alo,Hello
cevap,reply
oğlum,son
yı,yi
sahip,owner
yapıyor,doing
onların,they
herif,guy
bilirsin,you know
on,front
ise,if
henüz,yet
dünya,world
aldım,I got
kolay,easy
olması,being
uzak,far
yanında,beside
konuşmak,talk
evde,at home
jack,jack
fark,difference
adamı,man
evlat,child
hayatım,sweetheart
saniye,second
başına,per
birisi,someone
john,John
yoktu,did not have
araba,car
ara,Search
gidiyorum,I'm going
acele,rush
geldim,I came
rahat,comfortable
düşünüyorsun,you are thinking
çocuğu,children
yüzünden,because
olsa,Although
neredeyse,almost
hâlâ,still
görünüyor,it seems
dersin,of course
dans,dance
hızlı,fast
ancak,but
vay,Wow
halde,although
savaş,war
yolu,way
söylemek,say
almak,receive
nasılsın,how are you
hepimiz,we all
günü,day
olmadığını,whether
be,ba
ev,home
şuna,following the
çeneni,up
geceler,nights
altında,under
durum,status
komik,funny
süre,time
oyun,game
miyiz,Can
bin,thousand
hava,air
sanmıyorum,I do not think so
duydum,I heard
anlıyorum,I understand
yaptı,made
nun,the
galiba,probably
güle,bye
boş,null
yeniden,again
kapıyı,the door
yardımcı,helper
kaldı,stayed
gidiyoruz,We are going
buldum,I found
takip,follow
ta,t
günaydın,Good Morning
hayal,dream
ciddi,serious
hayat,life
söylüyor,says
olacağım,I will be
new,new
altı,six
konuda,subject
göz,eye
istedim,I wanted
düşündüm,I thought
sende,cents to
canım,My dear
bebek,baby
gelin,bride
işin,ray
beyler,gentlemen
kapa,Collapse
le,la
düşünüyorum,I'm thinking
gidiyorsun,You are going
beyaz,white
kardeşim,my brother
adamın,the man
herhangi,any
çalışıyorum,I am working
durun,stay
azından,least
gelen,incoming
şaka,joke
yaşlı,old
başladı,started
gelip,to come
memnun,satisfied
verin,give
s,s
yolunda,right
telefon,telephone
hareket,movement
hayatta,in life
gelir,income
kimin,whose
böylece,so
şeyin,thing
sürü,herd
mısınız,Are you
üzerine,over
kesin,exact
arkadaşım,friend
baban,your father
yeterince,enough
el,hand
arada,between
çıkar,interest
konusunda,about
siktir,Fuck
yakın,near
verdi,gave
İçeri,Inside
silah,weapon
şeye,thing
çıktı,output
hepsini,all
güçlü,strong
soru,question
herşey,everything
garip,strange
anladın,you understand
sanıyorsun,You thought you
kısa,short
çık,exit
çalışıyor,working
sağol,thanks
geldin,You came
bırakın,release
otur,sit down
iyiyim,I'm fine
anladım,understood
terk,abandonment
yapacağım,I will do
parayı,money
hatta,even
durumda,in the case
daki,on
kızı,daughter
haklısın,You are right
olduğuna,that
uygun,appropriate
korkunç,terrible
dön,frost
geliyorum,I am coming
tür,type
acaba,I wonder
yapamam,I can not do
kan,blood
yaptığını,do that
ait,belonging to
neyi,what
kere,times
şeyleri,things
şöyle,As
çek,Check
değildir,it is not
arasında,between
aşağı,down
bilmek,know
veriyorum,I am giving
dikkatli,careful
varsa,If
neyin,what
muhtemelen,probably
dünyanın,the world
sevindim,I'm glad
dolu,full
geçti,passed
bi,one
rahatsız,uncomfortable
yakında,soon
ihtiyacı,need
frank,franc
neydi,what was it
verdim,I gave
tuhaf,strange
sürekli,continuous
olacağını,would be
ortaya,out
annen,mother
diyorsun,you say
milyon,million
yüksek,high
at,horse
yukarı,up
fikir,idea
olmadı,It was not
zamanda,time
dışında,outside
hissediyorum,I am feeling
biliyordum,I knew
bizimle,with us
bayım,sir
sizinle,With you
aldı,took
kahrolası,goddamn
dedin,you said
deli,mad
olmayacak,will be
olmadan,without
sensin,you
yalnızca,Only
acı,pain
getir,bring
affedersiniz,Excuse me
kızlar,girls
yemin,oath
ediyorsun,you're
tut,Keep
ölü,dead
hoşça,nicely
üzere,in
gizli,hidden
burda,here
ihtiyacın,Your need
aşk,love
etmeye,Do not
tatlı,dessert
yapacağız,we will do
edecek,will
tahmin,guess
dışarıda,outside
te,t
içine,into
olası,possible
birinin,one's
koca,husband
hasta,patient
yavaş,slow
ölüm,death
sessiz,quiet
duydun,you heard
olurdu,it would be
ihtiyacımız,we need
istersen,if you want
herşeyi,everything
yapıyorum,I'm doing
mümkün,possible
yapacak,will make
köpek,dog
gerektiğini,ought
berbat,wretched
şans,chance
eden,community
sanıyordum,I thought
başkan,president
sıcak,hot
zarar,damage
dek,until
olay,event
yapar,makes
oradan,from there
gidin,Go
kahve,coffee
görünüyorsun,you look
orospu,bitch
ana,mother
nefes,breath
pardon,pardon
şarkı,song
bilmem,I do not know
yapmaya,making
basit,simple
vermek,give
üstüne,over
diyor,says
olup,The
görüyorum,I see
kalk,get up
evine,house
yedi,seven
film,film
istedi,wanted
anlaşıldı,roger
isterim,I want
İnsanlar,People
olmayan,non-
sevgili,dear
keşke,if only
yıldır,years
varmış,had
insanların,peoples
alın,Learn
olmalısın,You should be
herhalde,I suppose
kızım,my daughter
pislik,dirt
buradayım,buradayım
zavallı,poor
benziyor,looks like
herkesin,everybody's
sesini,your voice
istediğini,he wanted
normal,normal
neye,what
birine,to someone
dalga,wave
ahbap,buddy
aldın,lower
ettin,you've
zamandır,time
bilmiyor,he does not know
tıpkı,just as
charlie,charlie
çekil,get out
unutma,forgetting
baş,head
sefer,expedition
muhteşem,spectacular
görüyor,sees
diyorum,I say
yüz,face
sam,Sam
çeviri,Translation
ufak,small
millet,nation
yeri,place
olacaksın,you will be
yeterli,enough
yapacaksın,you do
miydi,was
the,the
hata,error
bununla,With this
fena,bad
aile,family
joe,joe
önünde,in front of
söyledin,You said
aşkına,sake
numara,number
düşün,think
belli,certain
alabilir,can take
söylüyorum,I say
söylemiştim,I say
george,George
evi,the House
bilir,knows
bok,shit
bunların,these
bayanlar,ladies
tom,tom
yürü,walk
doğum,birth
yaşında,aged
alıp,take
tehlikeli,dangerous
m,m
inanamıyorum,I cant believe
aynen,exactly
anlıyor,understands
gitmem,I dont go
adına,in the name of
erken,early
sıkı,tight
adını,name
yoktur,There is no
birçok,many
ses,sound
bekliyor,waiting
hayatını,his life
kendisi,itself
vakit,time
ele,addressed
edeceğim,I will make
güvenlik,security
yaparım,I do
seks,sex
içki,drink
bakma,do not look
david,david
canlı,Alive
kaptan,captain
anlamıyorum,I do not understand
müzik,music
durumu,status
saçma,absurd
hatırlıyor,remember
oda,room
kimsin,who are you
söyleme,mention
sonraki,next
kırmızı,red
güç,power
geldik,we came
arkadaş,friend
verir,gives
temiz,clean
bilemiyorum,I do not know
arkadaşın,your friend
düşünüyor,think
yu,yu
günler,days
aşık,in love
mıydı,was
bilmiyordum,I did not know
kimsenin,anyone
michael,michael
sıra,desk
olmasını,not the
olduğum,I'm
buldun,you found
yapmam,I do not
zamanlar,times
yapalım,let's do
üstünde,on
baksana,heigh
çocukları,children
olduğun,you are
birden,suddenly
olsaydı,had
gelmiş,have come
insanları,people
istediğin,you want
bekleyin,wait
sonsuza,infinity
niçin,why
ikinci,second
yerinde,in place
parti,party
anlat,tell
işim,name
birşeyler,something
almaya,take
kızın,your daughter
konuşma,talk
konu,subject
göster,show
işler,works
seviyor,love
sonu,end
salak,idiot
asıl,noble
siyah,black
sayın,Dear
yanına,next
geldiniz,welcome
biliyoruz,we know
alacağım,I will
İyiyim,I'm fine
haklı,right
soğuk,cold
hak,right
bahsediyorsun,talking about
gerekir,must
buradaki,here
sert,hard
burayı,here
umurumda,care
bulmak,find
gitsin,let go
tarafa,party
olmaya,not to
sigara,cigaret
defa,times
patron,boss
olmasın,whether
dinleyin,listen
iyisi,good
kimseye,anyone
özellikle,especially
bilgi,information
yemeği,food
baylar,gentlemen
adamlar,men
istiyorsan,if you want
tercih,choice
yapabilirim,I can
biriyle,with a
acil,urgent
general,general
işini,Your job
dair,about
gayet,very
kalın,thick
hepiniz,all of you
arabayı,car
b,b
söylüyorsun,you say
olma,being
bağlı,connected
duyuyor,hears
gerçeği,truth
alır,gets
taraftan,from the side
öldürmek,kill
defol,get out
İşe,If
harry,harry
yerini,place
kusura,defect
rağmen,despite
babamın,my fathers
canına,dear to
söyleyeyim,Let me tell
tanıyor,knows
yola,way
onlarla,with them
uyuşturucu,drug
babası,father
anlamı,meaning
onlardan,from them
affedersin,sorry
görmedim,I did not see
istemiyor,does not want
kitap,book
değiliz,We are not
iç,internal
bakayım,Let me see
yaşıyor,lives
gir,enter
orası,there
amerikan,American
bizden,U.S
edebilir,is able to
teslim,delivery
çoğu,most
hoşçakal,bye
kapı,door
dua,prayer
takım,team
mike,mike
adın,your name
kalan,remaining
kapat,Close
dolayı,because
gelmek,come
silahı,weapon
şehir,city
dürüst,honest
parçası,Part of it
zorundayım,I have to
kendim,myself
çalışıyorsun,Are you trying
gurur,pride
cehenneme,hell
zengin,rich
hoşuma,I liked
ağır,heavy
kendime,to myself
görmeye,seeing
sekiz,eight
mesaj,message
kalmak,stay
sık,stylish
okul,school
gider,expense